"Health ProtectorGuard - Gen 2 (CA, OR), Gen 3 (PA), Enhanced Gen 3 (all other Gen 3 states)",,,,,,,,
Golden Rule Insurance Company,,,,,,,,
,,,,,,,,
State,Language,Document Type,Plan Type,Application Number,Part Number,Filename,PDF Link,Effective Date
NE,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-26,763INE-G-0625,763INE-G202506.pdf,763INE-G202506.pdf,6/20/2025
NE,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-26,764INE-G-0126,764INE-G202601.pdf,764INE-G202601.pdf,1/23/2026
NE,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
NE,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
NV,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-27,763INV-G-0625,763INV-G202506.pdf,763INV-G202506.pdf,6/20/2025
NV,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-27,764INV-G-0126,764INV-G202601.pdf,764INV-G202601.pdf,1/23/2026
NV,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
NV,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
OH,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-34(R1),763IOH-G-0526,753IOH-G202503.pdf,763IOH-G202605.pdf,5/22/2026
OH,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-34(R1),764IOH-G-0526,754IOH-G202503.pdf,764IOH-G202605.pdf,5/22/2026
OH,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
OH,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
OK,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-35,763IOK-G-0625,763IOK-G202506.pdf,763IOK-G202506.pdf,6/20/2025
OK,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-35,764IOK-G-0126,764IOK-G202601.pdf,764IOK-G202601.pdf,1/23/2026
OK,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
OK,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
OR,English,Producer Guide,HPG - Gen 2,,45200OR-G-0821,45200OR-G202108.pdf,45200OR-G202108.pdf,8/27/2021
OR,English,Application,HPG - Gen 2,HPG-AP-166-SI-GRI-36,752IOR-G-0325,752IOR-G202503.pdf,752IOR-G202503.pdf,3/21/2025
OR,English,Brochure,HPG - Gen 2,,45173OR-G-0325,45173OR-G202503.[df,45173OR-G202503.pdf,3/21/2025
PA,English,Application,HPG - Gen 3,HPG-AP-166R2-GRI-37,753IPA-G-0325,753IPA-G202503.pdf,753IPA-G202503.pdf,3/21/2025
PA,English,Application - Guard,HPG - Gen 3,HPG-AP-187-CSTM-GRI-37,754IPA-G-0325,754IPA-G202503.pdf,754IPA-G202503.pdf,3/21/2025
PA,English,Brochure,HPG - Gen 3,,46034PA-G-0526,46034PA-G202605.pdf,46034PA-G202605.pdf,5/22/2026
PA,English,Brochure - Guard,HPG - Gen 3,,46035PA-G-0526,46035PA-G202605.pdf,46035PA-G202605.pdf,5/22/2026
RI,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-38,763IRI-G-0625,763IRI-G202506.pdf,763IRI-G202506.pdf,6/20/2025
RI,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-38,764IRI-G-0126,764IRI-G202601.pdf,764IRI-G202601.pdf,1/23/2026
RI,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
RI,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
SC,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-39,763ISC-G-0625,763ISC-G202506.pdf,763ISC-G202506.pdf,6/20/2025
SC,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-39,764ISC-G-0126,764ISC-G202601.pdf,764ISC-G202601.pdf,1/23/2026
SC,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
SC,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
TN,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-41,763ITN-G-0625,763ITN-G202506.pdf,763ITN-G202506.pdf,6/20/2025
TN,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-41,764ITN-G-0126,764ITN-G202601.pdf,764ITN-G202601.pdf,1/23/2026
TN,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
